trial,fold,best_val_acc,best_epoch,best_train_loss,best_val_loss,lr,batch_size,base_filters,dropout,hidden
0,1,0.9642857142857143,17,0.3253458810073358,0.21407677233219147,0.0003574712922600243,8,64,0.40055750587160444,256
0,2,0.9629629629629629,23,0.2737843544658171,0.27310905164038696,0.0003574712922600243,8,64,0.40055750587160444,256
0,3,0.9259259259259259,27,0.21140338709458298,0.2291099931354876,0.0003574712922600243,8,64,0.40055750587160444,256
0,4,0.9259259259259259,27,0.3718350300001442,0.4154463873969184,0.0003574712922600243,8,64,0.40055750587160444,256
0,5,0.9629629629629629,25,0.38983135827637594,0.224795149570262,0.0003574712922600243,8,64,0.40055750587160444,256
1,1,0.5,1,0.6912405844087954,0.6939763341631208,0.0016967533607196547,8,32,0.40592644736118977,256
1,2,0.5185185185185185,3,0.6939653158187866,0.6929614190702085,0.0016967533607196547,8,32,0.40592644736118977,256
1,3,0.5185185185185185,27,0.6933800244550092,0.693122923374176,0.0016967533607196547,8,32,0.40592644736118977,256
1,4,0.5185185185185185,1,0.7257593492849157,0.6924492186970181,0.0016967533607196547,8,32,0.40592644736118977,256
1,5,0.5185185185185185,5,0.6948010090294234,0.693071566246174,0.0016967533607196547,8,32,0.40592644736118977,256
2,1,0.9642857142857143,22,0.34450503521495396,0.20768171123095922,0.000471705203762518,8,48,0.13252579649263976,128
2,2,0.9629629629629629,19,0.25215681047614563,0.2288421925019335,0.000471705203762518,8,48,0.13252579649263976,128
2,3,0.9259259259259259,25,0.20407879899401182,0.28067414076239977,0.000471705203762518,8,48,0.13252579649263976,128
2,4,0.9629629629629629,16,0.3214034501018874,0.23337432383387177,0.000471705203762518,8,48,0.13252579649263976,128
2,5,0.9629629629629629,28,0.2661525962549612,0.14282593089673254,0.000471705203762518,8,48,0.13252579649263976,128
3,1,0.9642857142857143,30,0.2777578576847359,0.21768223813601903,0.00028180680291847244,16,64,0.22938999080000846,64
3,2,0.9629629629629629,22,0.3029426030062754,0.28774152254616775,0.00028180680291847244,16,64,0.22938999080000846,64
3,3,0.8888888888888888,23,0.36784004549914545,0.49824882133139503,0.00028180680291847244,16,64,0.22938999080000846,64
3,4,0.9629629629629629,30,0.20270989370455436,0.1626531603159728,0.00028180680291847244,16,64,0.22938999080000846,64
3,5,0.9629629629629629,22,0.36408073229527255,0.20327184238919505,0.00028180680291847244,16,64,0.22938999080000846,64
4,1,0.9642857142857143,27,0.38724702486285456,0.2993848366396768,0.000642033033629786,16,16,0.14424625102595975,256
4,2,0.9629629629629629,21,0.36915149245787104,0.3087023010960332,0.000642033033629786,16,16,0.14424625102595975,256
4,3,0.8888888888888888,20,0.354175798116474,0.4471318793517572,0.000642033033629786,16,16,0.14424625102595975,256
4,4,0.8518518518518519,21,0.5928404867102247,0.47974055343204075,0.000642033033629786,16,16,0.14424625102595975,256
4,5,0.9629629629629629,22,0.3742049391116571,0.21299783168015657,0.000642033033629786,16,16,0.14424625102595975,256
5,1,0.9642857142857143,24,0.29753765243071095,0.2431860055242266,0.00037507963596256056,16,64,0.13727532183988542,64
5,2,0.9629629629629629,20,0.2964262597331213,0.3041791584756639,0.00037507963596256056,16,64,0.13727532183988542,64
5,3,0.9259259259259259,23,0.284200960616453,0.30568899435025676,0.00037507963596256056,16,64,0.13727532183988542,64
5,4,0.9629629629629629,29,0.24567104670979562,0.15751235242243167,0.00037507963596256056,16,64,0.13727532183988542,64
5,5,0.9629629629629629,26,0.291364371503165,0.1529053709021321,0.00037507963596256056,16,64,0.13727532183988542,64
6,1,0.8928571428571429,27,0.6693086072250649,0.6658425671713692,0.0001018959297939515,8,16,0.5315517129377968,64
6,2,0.7777777777777778,15,0.6968830785620104,0.68548215980883,0.0001018959297939515,8,16,0.5315517129377968,64
6,3,0.8148148148148148,25,0.6262416615398652,0.6204793629822908,0.0001018959297939515,8,16,0.5315517129377968,64
6,4,0.9259259259259259,27,0.5274749384560716,0.5323770443598429,0.0001018959297939515,8,16,0.5315517129377968,64
6,5,0.5185185185185185,1,0.6953059806736237,0.6924810144636366,0.0001018959297939515,8,16,0.5315517129377968,64
7,1,0.8928571428571429,18,0.6433674737259194,0.620398257459913,0.0002879775265707035,16,16,0.4803925243084487,128
7,2,0.8888888888888888,25,0.35766861088778995,0.3726665863284358,0.0002879775265707035,16,16,0.4803925243084487,128
7,3,0.8518518518518519,23,0.4258318373916346,0.46276875447343896,0.0002879775265707035,16,16,0.4803925243084487,128
7,4,0.9259259259259259,25,0.452820359293474,0.43048479601188944,0.0002879775265707035,16,16,0.4803925243084487,128
7,5,0.9259259259259259,12,0.6922813790653823,0.6905389361911349,0.0002879775265707035,16,16,0.4803925243084487,128
8,1,0.9642857142857143,30,0.3352156910631392,0.2199439193521227,0.0005917520523090669,8,32,0.5537832369630465,256
8,2,0.8148148148148148,30,0.37292034855676354,0.34405730443972127,0.0005917520523090669,8,32,0.5537832369630465,256
8,3,0.8888888888888888,27,0.3703464942240934,0.40624151516843726,0.0005917520523090669,8,32,0.5537832369630465,256
8,4,0.8148148148148148,18,0.4949120622162425,0.521011491616567,0.0005917520523090669,8,32,0.5537832369630465,256
8,5,0.9629629629629629,17,0.3507433787945214,0.21198648918006155,0.0005917520523090669,8,32,0.5537832369630465,256
9,1,0.9285714285714286,30,0.4481948669309969,0.3631655829293387,0.00021775224101934097,16,16,0.5018360384495573,128
9,2,0.8888888888888888,26,0.4368641693657691,0.3982200434914342,0.00021775224101934097,16,16,0.5018360384495573,128
9,3,0.8518518518518519,25,0.4411316453863721,0.4636060661739773,0.00021775224101934097,16,16,0.5018360384495573,128
9,4,0.9259259259259259,23,0.4922178568096336,0.46604955196380615,0.00021775224101934097,16,16,0.5018360384495573,128
9,5,0.9629629629629629,26,0.6105550385396415,0.5483238818468871,0.00021775224101934097,16,16,0.5018360384495573,128
