trial,fold,best_val_acc,best_epoch,best_train_loss,best_val_loss,lr,batch_size,base_filters,dropout,hidden
0,1,0.9642857142857143,17,0.3253458810073358,0.21407677233219147,0.0003574712922600243,8,64,0.40055750587160444,256
0,2,0.9629629629629629,23,0.2737843544658171,0.27310905164038696,0.0003574712922600243,8,64,0.40055750587160444,256
0,3,0.9259259259259259,27,0.21140338709458298,0.2291099931354876,0.0003574712922600243,8,64,0.40055750587160444,256
0,4,0.9259259259259259,27,0.3718350300001442,0.4154463873969184,0.0003574712922600243,8,64,0.40055750587160444,256
0,5,0.9629629629629629,25,0.38983135827637594,0.224795149570262,0.0003574712922600243,8,64,0.40055750587160444,256
1,1,0.5,1,0.6912405844087954,0.6939763341631208,0.0016967533607196547,8,32,0.40592644736118977,256
1,2,0.5185185185185185,3,0.6939653158187866,0.6929614190702085,0.0016967533607196547,8,32,0.40592644736118977,256
1,3,0.5185185185185185,27,0.6933800244550092,0.693122923374176,0.0016967533607196547,8,32,0.40592644736118977,256
1,4,0.5185185185185185,1,0.7257593492849157,0.6924492186970181,0.0016967533607196547,8,32,0.40592644736118977,256
1,5,0.5185185185185185,5,0.6948010090294234,0.693071566246174,0.0016967533607196547,8,32,0.40592644736118977,256
2,1,0.9642857142857143,22,0.34450503521495396,0.20768171123095922,0.000471705203762518,8,48,0.13252579649263976,128
2,2,0.9629629629629629,19,0.25215681047614563,0.2288421925019335,0.000471705203762518,8,48,0.13252579649263976,128
2,3,0.9259259259259259,25,0.20407879899401182,0.28067414076239977,0.000471705203762518,8,48,0.13252579649263976,128
2,4,0.9629629629629629,16,0.3214034501018874,0.23337432383387177,0.000471705203762518,8,48,0.13252579649263976,128
2,5,0.9629629629629629,28,0.2661525962549612,0.14282593089673254,0.000471705203762518,8,48,0.13252579649263976,128
3,1,0.9285714285714286,18,0.5908672787525036,0.5458759069442749,0.0001151095194543387,32,48,0.10898093780741006,128
3,2,0.8888888888888888,28,0.387661300667929,0.3905465602874756,0.0001151095194543387,32,48,0.10898093780741006,128
3,3,0.8148148148148148,26,0.44972842384915834,0.46599140763282776,0.0001151095194543387,32,48,0.10898093780741006,128
3,4,0.9259259259259259,25,0.3440349137564318,0.4005177319049835,0.0001151095194543387,32,48,0.10898093780741006,128
3,5,0.9259259259259259,11,0.6865913731242539,0.6816313862800598,0.0001151095194543387,32,48,0.10898093780741006,128
4,1,0.9642857142857143,22,0.32960978039988764,0.23737866112164088,0.0021914469472126643,16,48,0.12491901059756781,64
4,2,0.9629629629629629,18,0.19249425650736607,0.17144173273333796,0.0021914469472126643,16,48,0.12491901059756781,64
4,3,0.48148148148148145,1,0.706886774356212,0.6937533175503766,0.0021914469472126643,16,48,0.12491901059756781,64
4,4,1.0,21,0.1582449880351714,0.09734167627714298,0.0021914469472126643,16,48,0.12491901059756781,64
4,5,0.48148148148148145,1,0.7280898826931594,0.697451545132531,0.0021914469472126643,16,48,0.12491901059756781,64
5,1,0.9642857142857143,23,0.4063161379761166,0.2885393053293228,0.0004945003715146832,8,16,0.590481699431483,128
5,2,0.9629629629629629,14,0.4632465315794726,0.4008269398300736,0.0004945003715146832,8,16,0.590481699431483,128
5,3,0.8888888888888888,26,0.4364001663452988,0.5163559670801516,0.0004945003715146832,8,16,0.590481699431483,128
5,4,0.8148148148148148,6,0.6903696858554805,0.6907452830561885,0.0004945003715146832,8,16,0.590481699431483,128
5,5,0.9629629629629629,16,0.33854814242879183,0.18095952410388877,0.0004945003715146832,8,16,0.590481699431483,128
6,1,0.9642857142857143,19,0.3651225180537612,0.28659787774086,0.0006109567128414679,32,48,0.28494262066095877,128
6,2,0.9629629629629629,26,0.35050339436312333,0.24842876195907593,0.0006109567128414679,32,48,0.28494262066095877,128
6,3,0.8518518518518519,28,0.3969193513787121,0.48588067293167114,0.0006109567128414679,32,48,0.28494262066095877,128
6,4,0.9629629629629629,22,0.31644317343694356,0.2099914848804474,0.0006109567128414679,32,48,0.28494262066095877,128
6,5,0.9259259259259259,13,0.6812465590074521,0.6681015491485596,0.0006109567128414679,32,48,0.28494262066095877,128
7,1,0.9642857142857143,25,0.4324477403252213,0.28862188117844717,0.00013925562809460624,16,64,0.5359103949481631,64
7,2,0.9259259259259259,28,0.3968487278037115,0.3804212278789944,0.00013925562809460624,16,64,0.5359103949481631,64
7,3,0.8518518518518519,27,0.4903458890018113,0.43666816420025295,0.00013925562809460624,16,64,0.5359103949481631,64
7,4,0.8888888888888888,29,0.4535245474325408,0.42375345362557304,0.00013925562809460624,16,64,0.5359103949481631,64
7,5,0.9259259259259259,15,0.6754685399729178,0.669664102571982,0.00013925562809460624,16,64,0.5359103949481631,64
8,1,0.9642857142857143,19,0.43404547814969663,0.2541469175900732,0.0008230392342070549,8,32,0.24164799249807567,128
8,2,0.5185185185185185,2,0.694931112298178,0.6931079052112721,0.0008230392342070549,8,32,0.24164799249807567,128
8,3,0.9259259259259259,28,0.17137309929373068,0.3341176438110846,0.0008230392342070549,8,32,0.24164799249807567,128
8,4,0.9629629629629629,16,0.2792295460854102,0.1863273302162135,0.0008230392342070549,8,32,0.24164799249807567,128
8,5,0.48148148148148145,1,0.699399032724013,0.6932179662916396,0.0008230392342070549,8,32,0.24164799249807567,128
9,1,0.9642857142857143,30,0.4071758808913054,0.32421023292200907,0.00030782350710526943,8,16,0.44982048892163795,128
9,2,0.9629629629629629,30,0.3145270164406628,0.3069062771068679,0.00030782350710526943,8,16,0.44982048892163795,128
9,3,0.8888888888888888,21,0.4400621477617036,0.43929492213107924,0.00030782350710526943,8,16,0.44982048892163795,128
9,4,0.9259259259259259,28,0.34640757985618137,0.30723596502233436,0.00030782350710526943,8,16,0.44982048892163795,128
9,5,0.9629629629629629,21,0.35228375147242064,0.21367450969086754,0.00030782350710526943,8,16,0.44982048892163795,128
